/media/ramdisk/centos.iso > /media/pc/hd/centos.iso
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
        448.84M  10%  448.81MB/s    0:00:08  
        695.59M  15%  341.46MB/s    0:00:11  
        797.84M  18%  255.38MB/s    0:00:14  
        894.84M  20%  216.82MB/s    0:00:16  
        956.84M  21%  111.50MB/s    0:00:31  
          1.03G  24%   80.51MB/s    0:00:42  
          1.09G  25%   69.23MB/s    0:00:48  
          1.16G  27%   64.54MB/s    0:00:50  
          1.21G  28%   67.57MB/s    0:00:47  
          1.29G  30%   60.58MB/s    0:00:51  
          1.34G  31%   59.61MB/s    0:00:51  
          1.41G  33%   58.91MB/s    0:00:50  
          1.47G  34%   61.28MB/s    0:00:48  
          1.53G  35%   59.13MB/s    0:00:48  
          1.58G  37%   60.65MB/s    0:00:46  
          1.65G  38%   60.32MB/s    0:00:45  
          1.71G  39%   59.46MB/s    0:00:45  
          1.77G  41%   60.31MB/s    0:00:43  
          1.82G  42%   60.57MB/s    0:00:42  
          1.89G  44%   60.52MB/s    0:00:41  
          1.95G  45%   59.41MB/s    0:00:41  
          2.02G  47%   60.13MB/s    0:00:39  
          2.07G  48%   60.42MB/s    0:00:38  
          2.14G  50%   60.28MB/s    0:00:37  
          2.20G  51%   60.82MB/s    0:00:35  
          2.27G  53%   60.54MB/s    0:00:34  
          2.32G  54%   60.42MB/s    0:00:33  
          2.39G  55%   60.48MB/s    0:00:32  
          2.45G  57%   60.04MB/s    0:00:31  
          2.51G  58%   60.35MB/s    0:00:30  
          2.57G  60%   60.50MB/s    0:00:29  
          2.64G  61%   60.38MB/s    0:00:28  
          2.69G  63%   60.40MB/s    0:00:27  
          2.76G  64%   60.38MB/s    0:00:26  
          2.82G  65%   60.64MB/s    0:00:25  
          2.89G  67%   60.48MB/s    0:00:24  
          2.94G  68%   60.66MB/s    0:00:23  
          3.01G  70%   60.54MB/s    0:00:21  
          3.07G  71%   57.24MB/s    0:00:22  
          3.14G  73%   58.71MB/s    0:00:20  
          3.19G  74%   59.14MB/s    0:00:19  
          3.25G  76%   56.46MB/s    0:00:19  
          3.31G  77%   62.67MB/s    0:00:16  
          3.37G  78%   57.43MB/s    0:00:16  
          3.42G  80%   59.05MB/s    0:00:15  
