/media/ramdisk/centos.iso > /media/pc/m2sgx/centos.iso
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
         63.34M   1%   63.31MB/s    0:01:09  
        188.16M   4%   94.06MB/s    0:00:45  
        278.84M   6%   92.63MB/s    0:00:45  
        321.09M   7%   80.07MB/s    0:00:51  
        387.84M   8%   80.92MB/s    0:00:50  
        498.91M  11%   77.49MB/s    0:00:51  
        625.34M  14%   86.62MB/s    0:00:44  
        727.84M  16%  101.56MB/s    0:00:36  
        816.59M  18%  107.08MB/s    0:00:34  
        949.28M  21%  112.48MB/s    0:00:31  
       1001.59M  22%   93.76MB/s    0:00:36  
          1.07G  25%   91.74MB/s    0:00:36  
          1.18G  27%   98.54MB/s    0:00:32  
          1.28G  30%   90.96MB/s    0:00:34  
          1.40G  32%  108.84MB/s    0:00:27  
          1.51G  35%  111.54MB/s    0:00:26  
          1.58G  36%  100.55MB/s    0:00:28  
          1.68G  39%  101.55MB/s    0:00:26  
          1.79G  41%  100.25MB/s    0:00:25  
          1.85G  43%   88.69MB/s    0:00:28  
          1.88G  43%   77.31MB/s    0:00:32  
          1.94G  45%   66.32MB/s    0:00:36  
          2.00G  46%   50.34MB/s    0:00:47  
          2.05G  48%   48.39MB/s    0:00:48  
          2.17G  50%   70.53MB/s    0:00:31  
          2.29G  53%   86.20MB/s    0:00:24  
          2.33G  54%   83.62MB/s    0:00:24  
          2.36G  55%   79.11MB/s    0:00:25  
          2.41G  56%   62.56MB/s    0:00:31  
          2.50G  58%   52.31MB/s    0:00:35  
          2.63G  61%   75.76MB/s    0:00:22  
          2.71G  63%   88.90MB/s    0:00:18  
          2.82G  65%  103.93MB/s    0:00:14  
          2.90G  67%  102.35MB/s    0:00:14  
          2.94G  68%   81.51MB/s    0:00:17  
          2.96G  69%   65.46MB/s    0:00:20  
          3.06G  71%   62.58MB/s    0:00:20  
          3.14G  73%   60.68MB/s    0:00:19  
          3.22G  75%   69.95MB/s    0:00:15  
          3.28G  76%   79.72MB/s    0:00:13  
          3.37G  78%   76.93MB/s    0:00:12  
          3.49G  81%   90.45MB/s    0:00:09  
          3.61G  84%  100.19MB/s    0:00:06  
          3.72G  87%  113.12MB/s    0:00:05  
          3.80G  89%  112.24MB/s    0:00:04  
          3.91G  91%  108.30MB/s    0:00:03  
          4.02G  94%  104.81MB/s    0:00:02  
